timestamp,heart_rate,sleep_duration,skin_temp,caffeine,blood_oxygen,stress_level
2024-01-01 00:00:00,100,,37.18,0,97.15,
2024-01-01 00:30:00,67,,37.09,0,98.96,
2024-01-01 01:00:00,61,,37.03,0,96.24,
2024-01-01 01:30:00,77,,36.81,0,98.22,
2024-01-01 02:00:00,75,,36.72,0,96.24,
2024-01-01 02:30:00,74,,37.48,0,98.0,
2024-01-01 03:00:00,68,,36.55,0,98.61,
2024-01-01 03:30:00,66,,36.7,0,96.42,
2024-01-01 04:00:00,94,,37.45,0,99.71,
2024-01-01 04:30:00,65,,37.27,0,95.13,
2024-01-01 05:00:00,97,,37.26,0,99.24,
2024-01-01 05:30:00,87,,36.79,0,99.38,
2024-01-01 06:00:00,62,,36.62,0,96.03,
2024-01-01 06:30:00,61,,37.0,0,98.03,
2024-01-01 07:00:00,65,,36.93,0,95.94,
2024-01-01 07:30:00,73,,36.63,0,96.96,
2024-01-01 08:00:00,74,,37.03,0,98.23,
2024-01-01 08:30:00,92,,36.73,0,98.92,
2024-01-01 09:00:00,98,,37.06,0,98.97,
2024-01-01 09:30:00,61,,37.17,0,96.2,
2024-01-01 10:00:00,95,,36.85,0,96.93,
2024-01-01 10:30:00,72,,36.9,0,96.21,
2024-01-01 11:00:00,94,,37.24,0,98.19,
2024-01-01 11:30:00,86,,36.94,47,95.36,
2024-01-01 12:00:00,74,,36.96,0,99.44,
2024-01-01 12:30:00,88,,36.58,0,95.06,
2024-01-01 13:00:00,97,,36.81,0,96.81,
2024-01-01 13:30:00,77,,36.93,0,96.58,
2024-01-01 14:00:00,60,,36.9,0,96.93,
2024-01-01 14:30:00,70,,37.14,0,99.19,6.0
2024-01-01 15:00:00,87,7.5,36.79,0,97.1,
2024-01-01 15:30:00,81,,36.91,0,97.73,
2024-01-01 16:00:00,77,,37.47,0,95.86,
2024-01-01 16:30:00,69,,36.67,0,97.36,
2024-01-01 17:00:00,73,,37.45,0,99.94,
2024-01-01 17:30:00,81,,36.96,0,95.36,
2024-01-01 18:00:00,66,,37.19,100,97.94,
2024-01-01 18:30:00,65,,36.86,0,95.07,8.0
2024-01-01 19:00:00,84,,36.94,0,96.08,
2024-01-01 19:30:00,66,,36.61,0,99.61,
2024-01-01 20:00:00,82,,36.94,0,99.74,
2024-01-01 20:30:00,82,,36.9,0,96.99,
2024-01-01 21:00:00,98,,36.58,0,96.43,
2024-01-01 21:30:00,76,,37.37,0,98.56,4.0
2024-01-01 22:00:00,62,,37.25,0,98.84,
2024-01-01 22:30:00,89,,36.72,0,97.12,
2024-01-01 23:00:00,94,,37.28,0,97.01,
2024-01-01 23:30:00,67,,36.58,0,98.2,
2024-01-02 00:00:00,84,,37.13,0,97.69,
2024-01-02 00:30:00,65,,37.03,0,95.76,
2024-01-02 01:00:00,95,,36.69,0,95.42,
2024-01-02 01:30:00,78,,37.28,0,95.4,
2024-01-02 02:00:00,100,,36.85,0,99.6,2.0
2024-01-02 02:30:00,99,,37.46,0,99.87,
2024-01-02 03:00:00,83,,37.15,0,95.78,
2024-01-02 03:30:00,96,,36.65,0,96.63,
2024-01-02 04:00:00,72,,36.6,0,97.93,
2024-01-02 04:30:00,64,,36.76,0,98.82,
2024-01-02 05:00:00,62,,36.67,0,98.25,
2024-01-02 05:30:00,74,,36.65,0,98.22,
2024-01-02 06:00:00,78,,37.26,0,96.55,
2024-01-02 06:30:00,65,,36.58,100,97.19,
2024-01-02 07:00:00,74,,37.45,0,99.77,
2024-01-02 07:30:00,66,,37.13,0,96.19,
2024-01-02 08:00:00,84,,36.96,0,96.22,8.0
2024-01-02 08:30:00,77,,37.06,0,99.62,
2024-01-02 09:00:00,89,,37.08,0,95.58,
2024-01-02 09:30:00,100,,37.18,0,98.06,
2024-01-02 10:00:00,83,,37.38,0,95.28,
2024-01-02 10:30:00,70,,37.14,0,98.33,
2024-01-02 11:00:00,83,,37.49,0,98.29,
2024-01-02 11:30:00,82,,36.82,0,95.88,
2024-01-02 12:00:00,73,,37.47,0,95.06,
2024-01-02 12:30:00,77,,36.82,0,95.69,
2024-01-02 13:00:00,64,,36.94,100,95.06,
2024-01-02 13:30:00,98,,36.97,0,97.48,
2024-01-02 14:00:00,100,,37.13,0,96.73,
2024-01-02 14:30:00,70,,37.3,0,97.59,
2024-01-02 15:00:00,94,7.5,37.09,0,99.11,
2024-01-02 15:30:00,75,,36.85,0,96.3,
2024-01-02 16:00:00,70,,36.57,0,96.86,
2024-01-02 16:30:00,89,,36.96,0,98.75,
2024-01-02 17:00:00,84,,36.54,0,99.37,
2024-01-02 17:30:00,77,,36.87,0,98.66,
2024-01-02 18:00:00,100,,36.79,0,95.59,
2024-01-02 18:30:00,95,,37.14,0,99.5,
2024-01-02 19:00:00,74,,37.48,0,96.68,
2024-01-02 19:30:00,80,,36.59,0,97.15,
2024-01-02 20:00:00,63,,37.09,0,97.62,
2024-01-02 20:30:00,74,,36.88,0,96.31,
2024-01-02 21:00:00,62,,37.08,0,99.88,
2024-01-02 21:30:00,80,,37.45,0,98.14,
2024-01-02 22:00:00,85,,37.24,0,97.48,
2024-01-02 22:30:00,77,,36.54,0,97.55,
2024-01-02 23:00:00,64,,37.41,0,95.28,
2024-01-02 23:30:00,73,,37.07,0,99.3,
2024-01-03 00:00:00,96,,36.69,0,95.83,
2024-01-03 00:30:00,80,,37.11,0,95.79,
2024-01-03 01:00:00,73,,37.0,0,98.87,
2024-01-03 01:30:00,91,,37.46,0,99.47,
2024-01-03 02:00:00,85,,36.95,0,98.37,
2024-01-03 02:30:00,89,,37.31,0,95.58,
2024-01-03 03:00:00,69,,37.34,0,98.7,
2024-01-03 03:30:00,76,,37.48,0,95.01,
2024-01-03 04:00:00,68,,36.58,0,99.29,
2024-01-03 04:30:00,75,,37.15,0,95.06,
2024-01-03 05:00:00,95,,36.54,0,95.23,
2024-01-03 05:30:00,94,,37.21,100,96.82,
2024-01-03 06:00:00,76,,37.49,0,99.6,
2024-01-03 06:30:00,97,,37.02,0,95.89,
2024-01-03 07:00:00,87,,37.11,0,99.8,
2024-01-03 07:30:00,97,,36.86,0,95.18,
2024-01-03 08:00:00,85,,37.42,0,99.02,
2024-01-03 08:30:00,83,,36.89,0,98.57,
2024-01-03 09:00:00,74,,37.27,0,98.28,
2024-01-03 09:30:00,68,,37.18,0,96.12,
2024-01-03 10:00:00,92,,36.55,0,96.24,
2024-01-03 10:30:00,91,,37.13,0,99.58,
2024-01-03 11:00:00,65,,36.83,0,96.6,4.0
2024-01-03 11:30:00,63,,36.83,100,99.13,
2024-01-03 12:00:00,67,,37.06,0,97.86,
2024-01-03 12:30:00,69,,36.89,0,95.6,
2024-01-03 13:00:00,100,,36.75,0,98.37,4.0
2024-01-03 13:30:00,70,,37.35,0,95.26,
2024-01-03 14:00:00,87,,37.46,0,96.12,
2024-01-03 14:30:00,98,,37.1,0,97.58,
2024-01-03 15:00:00,64,8.0,36.65,0,95.23,
2024-01-03 15:30:00,84,,36.58,0,97.0,
2024-01-03 16:00:00,84,,37.16,0,99.38,
2024-01-03 16:30:00,98,,37.42,0,99.33,6.0
2024-01-03 17:00:00,89,,36.81,0,98.87,
2024-01-03 17:30:00,93,,37.16,0,96.55,
2024-01-03 18:00:00,76,,37.16,0,95.43,
2024-01-03 18:30:00,95,,36.63,0,97.28,
2024-01-03 19:00:00,60,,37.21,0,96.84,
2024-01-03 19:30:00,67,,36.58,0,96.46,
2024-01-03 20:00:00,94,,37.06,0,98.92,
2024-01-03 20:30:00,77,,37.14,0,98.7,
2024-01-03 21:00:00,81,,36.83,0,96.21,
2024-01-03 21:30:00,67,,36.63,0,96.84,
2024-01-03 22:00:00,78,,37.2,0,99.86,
2024-01-03 22:30:00,87,,37.45,0,99.99,
2024-01-03 23:00:00,70,,37.5,0,98.88,
2024-01-03 23:30:00,89,,37.41,0,98.66,
2024-01-04 00:00:00,60,,36.59,0,97.73,
2024-01-04 00:30:00,76,,37.17,0,98.98,
2024-01-04 01:00:00,92,,37.01,0,95.75,
