timestamp,heart_rate,sleep_duration,skin_temp,caffeine,blood_oxygen,stress_level
2024-01-01 00:00:00,100,,37.18,,97.15,
2024-01-01 00:30:00,67,,37.09,,98.96,
2024-01-01 01:00:00,61,,37.03,,96.24,
2024-01-01 01:30:00,77,,36.81,,98.22,
2024-01-01 02:00:00,75,,36.72,,96.24,
2024-01-01 02:30:00,74,,37.48,,98.0,
2024-01-01 03:00:00,68,,36.55,,98.61,
2024-01-01 03:30:00,66,,36.7,,96.42,
2024-01-01 04:00:00,94,,37.45,,99.71,
2024-01-01 04:30:00,65,,37.27,,95.13,
2024-01-01 05:00:00,97,,37.26,,99.24,
2024-01-01 05:30:00,87,,36.79,,99.38,
2024-01-01 06:00:00,62,,36.62,,96.03,
2024-01-01 06:30:00,61,,37.0,,98.03,
2024-01-01 07:00:00,65,,36.93,,95.94,
2024-01-01 07:30:00,73,,36.63,,96.96,
2024-01-01 08:00:00,74,,37.03,,98.23,
2024-01-01 08:30:00,92,,36.73,,98.92,
2024-01-01 09:00:00,98,,37.06,,98.97,
2024-01-01 09:30:00,61,,37.17,,96.2,
2024-01-01 10:00:00,95,,36.85,,96.93,
2024-01-01 10:30:00,72,,36.9,,96.21,
2024-01-01 11:00:00,94,,37.24,,98.19,
2024-01-01 11:30:00,86,,36.94,47.0,95.36,
2024-01-01 12:00:00,74,,36.96,,99.44,
2024-01-01 12:30:00,88,,36.58,,95.06,
2024-01-01 13:00:00,97,,36.81,,96.81,
2024-01-01 13:30:00,77,,36.93,,96.58,
2024-01-01 14:00:00,60,,36.9,,96.93,
2024-01-01 14:30:00,70,,37.14,,99.19,6.0
2024-01-01 15:00:00,87,7.5,36.79,,97.1,
2024-01-01 15:30:00,81,,36.91,,97.73,
2024-01-01 16:00:00,77,,37.47,,95.86,
2024-01-01 16:30:00,69,,36.67,,97.36,
2024-01-01 17:00:00,73,,37.45,,99.94,
2024-01-01 17:30:00,81,,36.96,,95.36,
2024-01-01 18:00:00,66,,37.19,100.0,97.94,
2024-01-01 18:30:00,100,7.5,37.77,100.0,96.21,8.0
2024-01-01 19:00:00,84,,36.94,,96.08,
2024-01-01 19:30:00,66,,36.61,,99.61,
2024-01-01 20:00:00,82,,36.94,,99.74,
